wals code	glottocode	name	latitude	longitude	macroarea	genus	family	sample 100	sample 200
bnn	bann1247	Banoni	-6.41666666667	155.25	Papunesia	Oceanic	Austronesian	False	False
ard	aran1237	Arandai	-2.08333333333	133.0	Papunesia	South Bird's Head	Marind	False	False
klw	kili1268	Kiliwa	31.3333333333	-115.666666667	North America	Yuman	Hokan	False	False
mnm	mana1295	Manam	-4.0	145.0	Papunesia	Oceanic	Austronesian	False	False
pil	pile1238	Pileni	-10.2166666667	166.216666667	Papunesia	Oceanic	Austronesian	False	False
koa	koas1236	Koasati	34.8333333333	-85.1666666667	North America	Muskogean	Muskogean	True	True
tpr	tupu1244	Tupuri	10.1666666667	14.75	Africa	Adamawa	Niger-Congo	False	False
hix	hixk1239	Hixkaryana	-1.0	-59.0	South America	Cariban	Cariban	True	True
lbu	lund1266	Lunda	-10.6666666667	24.0	Africa	Bantoid	Niger-Congo	False	False
tkl	take1257	Takelma	42.5	-123.0	North America	Takelma	Takelma	False	False
knp	ngka1235	Kanum (Ngkâlmpw)	-8.66666666667	140.916666667	Papunesia	Morehead and Upper Maro Rivers	Morehead and Upper Maro Rivers	False	False
knb	badi1247	Kanum (Bädi)	-8.83333333333	140.75	Papunesia	Morehead and Upper Maro Rivers	Morehead and Upper Maro Rivers	False	False
mor	morm1235	Mor	-2.95	135.75	Papunesia	South Halmahera - West New Guinea	Austronesian	False	False
rag	hano1246	Raga	-15.5	168.166666667	Papunesia	Oceanic	Austronesian	False	False
pmn	nort2966	Pomo (Northern)	39.3333333333	-123.5	North America	Pomoan	Hokan	False	False
far	faro1244	Faroese	62.0	-7.0	Eurasia	Germanic	Indo-European	False	False
ang	ango1254	Anggor	-3.75	141.166666667	Papunesia	Senagi	Senagi	False	False
atk	atak1252	Atakapa	30.0	-93.5	North America	Atakapa	Atakapa	False	False
kla	klao1243	Klao	4.75	-8.75	Africa	Kru	Niger-Congo	False	False
idu	idum1241	Idu	29.3333333333	95.8333333333	Eurasia	Digaroan	Sino-Tibetan	False	False
mis	misk1235	Miskito	14.0	-83.6666666667	North America	Misumalpan	Misumalpan	False	False
cde	maqu1238	Carib (De'kwana)	5.5	-65.0	South America	Cariban	Cariban	False	False
kui	kuii1252	Kui (in India)	20.0	83.5	Eurasia	South-Central Dravidian	Dravidian	False	False
kiu	kuii1253	Kui (in Indonesia)	-8.43333333333	124.55	Papunesia	Greater Alor	Timor-Alor-Pantar	False	False
grn	fare1241	Gurenne	10.8333333333	-0.916666666667	Africa	Gur	Niger-Congo	False	False
ngg	nang1259	Ngan'gityemerri	-14.25	130.416666667	Australia	Southern Daly	Australian	False	False
ngk	nang1259	Ngankikurungkurr	-14.0	130.5	Australia	Southern Daly	Australian	False	False
rgn	nort2994	Roglai (Northern)	12.1666666667	108.833333333	Eurasia	Malayo-Sumbawan	Austronesian	False	False
ngt	tang1336	Naga (Tangkhul)	25.0	94.5	Eurasia	Kuki-Chin	Sino-Tibetan	False	False
tza	tzel1254	Tzeltal (Aguacatenango)	16.4166666667	-92.5	North America	Mayan	Mayan	False	False
tzb	tzel1255	Tzeltal (Bachajón)	16.9166666667	-92.0	North America	Mayan	Mayan	False	False
tzt	tzel1254	Tzeltal (Tenejapa)	16.6666666667	-92.3333333333	North America	Mayan	Mayan	False	False
